shorthand,full_form
everyn ight,every night
every nght,every night
every niht,every night
ever,every night
gi,gastrointestinal
gastointestinal,gastrointestinal
gastorintestinal,gastrointestinal
gatrointestinal,gastrointestinal
gastrointesitnal,gastrointestinal
gastrointestinl,gastrointestinal
gastrointestnal,gastrointestinal
gastroitnestinal,gastrointestinal
gasrointestinal,gastrointestinal
agstrointestinal,gastrointestinal
gastrointestianl,gastrointestinal
cv,cardiovascular
cardiovasclar,cardiovascular
cardivoascular,cardiovascular
cardioavscular,cardiovascular
crdiovascular,cardiovascular
cardiovasuclar,cardiovascular
cadriovascular,cardiovascular
caridovascular,cardiovascular
cardiovasculra,cardiovascular
cadiovascular,cardiovascular
cardiovasular,cardiovascular
iv,intravenous
int,intravenous
intra,intravenous
intravenuos,intravenous
itnravenous,intravenous
intraevnous,intravenous
intavenous,intravenous
ins,intravenous
nitravenous,intravenous
intraveous,intravenous
intrvenous,intravenous
ent,ear nose throat
ear nose thrat,ear nose throat
er nose throat,ear nose throat
ear nose throa,ear nose throat
ear nose trhoat,ear nose throat
ear nose thorat,ear nose throat
ar nose throat,ear nose throat
ear nose throta,ear nose throat
ear nose thraot,ear nose throat
ear nose throt,ear nose throat
ear n,ear nose throat
inj,injection
inection,injection
injetion,injection
injectino,injection
injetcion,injection
inejction,injection
injecion,injection
njection,injection
injction,injection
injcetion,injection
njctn,injection
abd,abdomen
adomen,abdomen
abdome,abdomen
abdo,abdomen
abdoemn,abdomen
bdomen,abdomen
abdom,abdomen
abdmen,abdomen
abn,abdomen
abdomn,abdomen
adbomen,abdomen
h2o,water
watr,water
ater,water
wtr,water
waer,water
awter,water
watre,water
wat,water
wter,water
wtaer,water
war,water
cap,capsule
cpsl,capsule
cpasule,capsule
apsule,capsule
capslue,capsule
caspule,capsule
capusle,capsule
cpsule,capsule
casule,capsule
capsu,capsule
capule,capsule
paracetml,paracetamol
parcetamol,paracetamol
apracetamol,paracetamol
paracetaoml,paracetamol
parac,paracetamol
paraceamol,paracetamol
pracetamol,paracetamol
aracetamol,paracetamol
paracetaml,paracetamol
paracetmaol,paracetamol
paarcetamol,paracetamol
patiet,patient
ptnt,patient
pient,patient
pnt,patient
paet,patient
pt,patient
sugr,sugar
sgr,sugar
suagr,sugar
sgar,sugar
sugra,sugar
suar,sugar
usgar,sugar
sguar,sugar
sug,sugar
sur,sugar
lvl,level
evel,level
levle,level
levl,level
lel,level
lveel,level
leel,level
leevl,level
lvel,level
leve,level
elvel,level
chckd,checked
cheked,checked
checke,checked
chd,checked
checkde,checked
chceked,checked
chec,checked
hcecked,checked
check,checked
checekd,checked
cecked,checked
mrng,morning
mrg,morning
mrig,morning
mig,morning
mng,morning
 brekfast  ,breakfast
brakfast  ,breakfast
breafkast  ,breakfast
 breakfats  ,breakfast
 brakefast  ,breakfast
 breakfas  ,breakfast
 breakfasst  ,breakfast
brefkast  ,breakfast
brekafst  ,breakfast
 breakfaast,breakfast
brkfst,breakfast
nrml,normal
noal,normal
nmal,normal
nml,normal
nal,normal
prscrbd,prescribed
prescrib  ,prescribed
presribe  ,prescribed
perescribe  ,prescribed
prescrebe  ,prescribed
prescribee  ,prescribed
precribe  ,prescribed
prscribe  ,prescribed
prescrive  ,prescribed
prescribd  ,prescribed
prescrbie  ,prescribed
vommiting  ,vomting
vometing  ,vomting
vominting  ,vomting
vommitting  ,vomting
vomittng  ,vomting
vomitin  ,vomting
vomiteng  ,vomting
vomitinh  ,vomting
vommitin  ,vomting
vomitingg  ,vomting
vomtng,vomting
vmtng,vomting
vtng,vomting
clod  ,cold
collld  ,cold
coldd  ,cold
kold  ,cold
coldd  ,cold
colde  ,cold
coldt  ,cold
colld  ,cold
cpld  ,cold
coldn  ,cold
couhg  ,cough
cogh  ,cough
cougg  ,cough
cought  ,cough
cofgh  ,cough
cugh  ,cough
caugh  ,cough
couvh  ,cough
cohg  ,cough
coghh  ,cough
hdache,headache
headache,headache
headach  ,headache
headak  ,headache
hedaache  ,headache
haedache  ,headache
headsche  ,headache
headche  ,headache
headacch  ,headache
headdache  ,headache
headech  ,headache
stomak pain  ,stomachpain
stomch pain  ,stomachpain
stommach pain  ,stomachpain
stomach pian  ,stomachpain
stomache pain  ,stomachpain
stomatch pain  ,stomachpain
stumach pain  ,stomachpain
stomach paain  ,stomachpain
stomac pain  ,stomachpain
stomaach pain  ,stomachpain
diabtes  ,diabities
diabettis  ,diabities
dibetes  ,diabities
diabeetis  ,diabities
daibetes  ,diabities
diabets  ,diabities
diabetse  ,diabities
diabities  ,diabities
diabitiese  ,diabities
diabeetes  ,diabities
asthama  ,asthma
astma  ,asthma
azthma  ,asthma
asthna  ,asthma
asthmha  ,asthma
asthamae  ,asthma
ashma  ,asthma
asthema  ,asthma
astmh  ,asthma
assthma  ,asthma
mallaria  ,malaria
malarai  ,malaria
malariya  ,malaria
malariyah  ,malaria
maleria  ,malaria
malariya  ,malaria
maleriah  ,malaria
malarica  ,malaria
malairia  ,malaria
malaeria  ,malaria
alergy  ,allergy
alargy  ,allergy
allerjy  ,allergy
allergi  ,allergy
allargy  ,allergy
allegry  ,allergy
alerggy  ,allergy
allegy  ,allergy
allergee  ,allergy
alergy  ,allergy
typhod  ,typhoid
tifoid  ,typhoid
typhoide  ,typhoid
typhoic  ,typhoid
typhoyd  ,typhoid
tyfoid  ,typhoid
typphoid  ,typhoid
typohid  ,typhoid
typhioid  ,typhoid
tpyhoid  ,typhoid
cholora  ,cholera
colera  ,cholera
chollera  ,cholera
cholrea  ,cholera
choleara  ,cholera
choloraa  ,cholera
cholear  ,cholera
cholra  ,cholera
cholorra  ,cholera
chollra  ,cholera
jandice  ,jaundice
joundice  ,jaundice
jawndice  ,jaundice
jaundis  ,jaundice
jaunice  ,jaundice
jaindice  ,jaundice
jauncdice  ,jaundice
jaudnice  ,jaundice
jaundicee  ,jaundice
jawnedis  ,jaundice
tuberculosiss  ,tuberculosis
tuberclosis  ,tuberculosis
tuburculosis  ,tuberculosis
tuberculois  ,tuberculosis
tubrclosis  ,tuberculosis
tberculosis  ,tuberculosis
tuberculossis  ,tuberculosis
tuburcolosis  ,tuberculosis
tubercullosis  ,tuberculosis
tuberkulosis  ,tuberculosis
pnumonia  ,pneumonia
pneumonai  ,pneumonia
pnuemonia  ,pneumonia
pnemonia  ,pneumonia
pneumoniah  ,pneumonia
pneomonia  ,pneumonia
pneumnia  ,pneumonia
pneumania  ,pneumonia
pnueumonia  ,pneumonia
pneumomia  ,pneumonia
migrane  ,migraine
migrein  ,migraine
migrain  ,migraine
migraen  ,migraine
migrainn  ,migraine
migrainee  ,migraine
migrinee  ,migraine
mygraine  ,migraine
migrein  ,migraine
migriane  ,migraine
dengu  ,dengue
denguee  ,dengue
denque  ,dengue
dangeu  ,dengue
denghue  ,dengue
dengoo  ,dengue
dangue  ,dengue
denjue  ,dengue
denqueu  ,dengue
denghu  ,dengue
ibuprofin  ,ibuprofen
ibuprophen  ,ibuprofen
ibopruffen  ,ibuprofen
ibuprofane  ,ibuprofen
ibuprophin  ,ibuprofen
ibuprofem  ,ibuprofen
ibuproffin  ,ibuprofen
ibufrofen  ,ibuprofen
ibuporfen  ,ibuprofen
ibufrofin  ,ibuprofen
cetrezine  ,cetirizine
cetirizne  ,cetirizine
cetirizene  ,cetirizine
ceterezine  ,cetirizine
cetirizime  ,cetirizine
cettrizine  ,cetirizine
cetirizinne  ,cetirizine
cetirzin  ,cetirizine
setirizine  ,cetirizine
cetiriziene  ,cetirizine
azithromicin  ,azithromycin
azithromysin  ,azithromycin
azithromyzin  ,azithromycin
azithromycyn  ,azithromycin
azithromacine  ,azithromycin
azithrmycin  ,azithromycin
azithromycin  ,azithromycin
azethromycin  ,azithromycin
azithrommcin  ,azithromycin
azithromycine  ,azithromycin
amoxycillin  ,amoxicillin
amoxcillin  ,amoxicillin
amoxisillin  ,amoxicillin
amoxycillan  ,amoxicillin
amoxacillin  ,amoxicillin
amoxilline  ,amoxicillin
amoxicilin  ,amoxicillin
amoxcilline  ,amoxicillin
amoxysilin  ,amoxicillin
amoxisilin  ,amoxicillin
metphormin  ,metformin
metforin  ,metformin
metformine  ,metformin
metfomin  ,metformin
metformon  ,metformin
metfformin  ,metformin
metphorimin  ,metformin
metfornin  ,metformin
metvormin  ,metformin
metfarmen  ,metformin
pantaprazole  ,pantoprazole
pantoparazole  ,pantoprazole
pantoprozole  ,pantoprazole
pantoprzole  ,pantoprazole
pantoprasol  ,pantoprazole
pantaprazol  ,pantoprazole
pantoprrazole  ,pantoprazole
pantoprzol  ,pantoprazole
pantoprasolee  ,pantoprazole
pantoparozole  ,pantoprazole
levocitirizine  ,levocetirizine
levocetrezine  ,levocetirizine
levocetrizine  ,levocetirizine
leevocetirizine  ,levocetirizine
levosetirizine  ,levocetirizine
levocetirizinne  ,levocetirizine
levoceterizine  ,levocetirizine
levoceterezine  ,levocetirizine
levocitrazine  ,levocetirizine
levocetirazine  ,levocetirizine
omeprazol  ,omeprazole
omeperazole  ,omeprazole
omeprazloe  ,omeprazole
omiprazole  ,omeprazole
omeprazoll  ,omeprazole
omepazrole  ,omeprazole
omeprozole  ,omeprazole
omeparazole  ,omeprazole
omeprazzol  ,omeprazole
omepraxole  ,omeprazole
diclofinac  ,diclofenac
diclofenak  ,diclofenac
diclofanec  ,diclofenac
diclofinack  ,diclofenac
diclofenec  ,diclofenac
diclofonac  ,diclofenac
dyclofenac  ,diclofenac
diclofenack  ,diclofenac
diclopenac  ,diclofenac
dicllofenac  ,diclofenac
metronidizole  ,Metronidazole
metrinidazole  ,Metronidazole
metronidzole  ,Metronidazole
metronodazole  ,Metronidazole
metronedazole  ,Metronidazole
metronidazol  ,Metronidazole
metronidozole  ,Metronidazole
metrondazole  ,Metronidazole
metronidzol  ,Metronidazole
metronidazle  ,Metronidazole
albandazole  ,Albendazole
albendezol  ,Albendazole
albendazle  ,Albendazole
albendozole  ,Albendazole
albenndazole  ,Albendazole
albendozle  ,Albendazole
albendizole  ,Albendazole
albendazol  ,Albendazole
albandazol  ,Albendazole
albendazzole  ,Albendazole
orz  ,ORS
orss  ,ORS
osr  ,ORS
orx  ,ORS
ors packet  ,ORS
orssachet  ,ORS
orssac  ,ORS
orzs  ,ORS
or’s  ,ORS
orzsacket  ,ORS
iffa  ,Iron Folic Acid
ife  ,Iron Folic Acid
ironfolic  ,Iron Folic Acid
irn folic  ,Iron Folic Acid
iron falt  ,Iron Folic Acid
ironfolik  ,Iron Folic Acid
ironfulic  ,Iron Folic Acid
ironpholic  ,Iron Folic Acid
iron follik  ,Iron Folic Acid
irn fa  ,Iron Folic Acid
metphormin  ,Metformin
metfomin  ,Metformin
metformine  ,Metformin
metformon  ,Metformin
metfarmen  ,Metformin
metfourmin  ,Metformin
metfarmen  ,Metformin
metformim  ,Metformin
metfrmin  ,Metformin
metfornin  ,Metformin
pantaprazole  ,Pantoprazole
pantoparazole  ,Pantoprazole
pantoprozole  ,Pantoprazole
pantoprzole  ,Pantoprazole
pantoprasol  ,Pantoprazole
pantoprrazole  ,Pantoprazole
pantoprzol  ,Pantoprazole
pantoparozole  ,Pantoprazole
pantoparzole  ,Pantoprazole
panthoprazole  ,Pantoprazole
amoxycillin  ,Amoxicillin
amoxisillin  ,Amoxicillin
amoxcillin  ,Amoxicillin
amoxycillan  ,Amoxicillin
amoxacillin  ,Amoxicillin
amoxilline  ,Amoxicillin
amoxicilin  ,Amoxicillin
amoxcilline  ,Amoxicillin
amoxysilin  ,Amoxicillin
amoxisilin  ,Amoxicillin
dollo  ,Dolo-650
dolo65  ,Dolo-651
doloo  ,Dolo-652
do-lo  ,Dolo-653
doloo650  ,Dolo-654
dollo650  ,Dolo-655
doolo  ,Dolo-656
dloo  ,Dolo-657
dooloo  ,Dolo-658
doll650  ,Dolo-659
ambroksol  ,Ambroxol
ambrocol  ,Ambroxol
ambrosol  ,Ambroxol
ambroxel  ,Ambroxol
ambroxole  ,Ambroxol
ambroxil  ,Ambroxol
ambroxyzol  ,Ambroxol
ambrosoll  ,Ambroxol
ambrosil  ,Ambroxol
ambroxal  ,Ambroxol
zink  ,Zinc Sulphate
zinc sulfat  ,Zinc Sulphate
zync  ,Zinc Sulphate
zinck  ,Zinc Sulphate
zinksulf  ,Zinc Sulphate
zincsulphat  ,Zinc Sulphate
zincsulphaet  ,Zinc Sulphate
zincsulfet  ,Zinc Sulphate
zincsulpet  ,Zinc Sulphate
zinch syrup  ,Zinc Sulphate
multyvitamin  ,Multivitamin
multyvit syrup  ,Multivitamin
multivitmane  ,Multivitamin
multyvitmine  ,Multivitamin
multivitmin  ,Multivitamin
multivitmeen  ,Multivitamin
maltivitamin  ,Multivitamin
multiveetamin  ,Multivitamin
multevitamin  ,Multivitamin
multivitomine  ,Multivitamin
dexorang  ,Dexorange
dexronge  ,Dexorange
dexoranj  ,Dexorange
dexorenge  ,Dexorange
dexorinz  ,Dexorange
dexorrange  ,Dexorange
dexorinze  ,Dexorange
dexorranj  ,Dexorange
dexorangge  ,Dexorange
dexorengee  ,Dexorange
vit d  ,Vitamin D
vitamin dee  ,Vitamin D
vitamn ,Vitamin D
vit d3 syrup  ,Vitamin D
vitamindee  ,Vitamin D
vitamind3  ,Vitamin D
vitd syrup  ,Vitamin D
vitemin d  ,Vitamin D
vytamin d  ,Vitamin D
vittamin d  ,Vitamin D
askoril  ,Ascoril
ascoral  ,Ascoril
askorill  ,Ascoril
ascorel  ,Ascoril
ascorill  ,Ascoril
askorill syrup  ,Ascoril
ascoril syrup  ,Ascoril
askoral  ,Ascoril
askorel  ,Ascoril
ascorell  ,Ascoril
vry,very
vy ,very
vey,very
verry,very
veey,very
veryy,very
doc ,doctor
doct,doctor
evng,evening
chckup,checkup
chckups,checkups
ystrdy,yesterday
nyt,night
dys,days
reg,regular
ctrl,control
adv,adivices
appt,appointment
chckng,checking
